Date,Open,High,Low,Close,Volume,Adj Close
2006-12-26,68.71,69.13,68.25,68.69,2976800,65.76
2006-12-22,69.00,69.27,68.60,68.71,4453500,65.78
2006-12-21,69.30,69.78,68.88,69.22,5000100,66.27
2006-12-20,70.37,70.40,69.37,69.45,5222500,66.49
2006-12-19,69.78,70.50,69.47,70.30,6028700,67.30
2006-12-18,70.21,70.84,69.85,70.05,5187200,67.06
2006-12-15,71.79,71.99,70.12,70.22,15899700,67.22
2006-12-14,70.03,70.67,69.92,70.05,8274600,67.06
2006-12-13,69.71,70.37,69.15,69.84,7305600,66.86
2006-12-12,69.78,69.93,69.10,69.67,5800100,66.70
2006-12-11,69.93,70.45,69.48,69.89,5945500,66.91
2006-12-08,69.00,70.45,68.90,69.88,9604200,66.90
2006-12-07,69.94,69.96,68.85,69.20,9404300,66.25
2006-12-06,69.90,69.99,69.18,69.89,10415500,66.91
2006-12-05,69.35,69.40,68.50,69.06,9512300,66.11
2006-12-04,68.95,69.50,68.70,69.15,11247100,66.20
2006-12-01,70.81,71.00,68.88,69.38,16212600,66.42
2006-11-30,72.17,72.34,70.68,71.04,10620400,68.01
2006-11-29,71.90,72.52,71.73,72.42,5794400,69.33
2006-11-28,71.60,72.31,71.44,71.76,7219000,68.70
2006-11-27,72.16,72.49,71.51,71.88,5007400,68.81
2006-11-24,72.32,72.99,72.22,72.50,1836200,69.41
2006-11-22,73.20,73.29,72.58,72.68,4906300,69.58
2006-11-21,73.20,73.30,72.38,72.98,6505100,69.87
2006-11-20,72.03,73.48,72.00,72.92,8522200,69.81
2006-11-17,71.90,72.80,71.80,72.51,7758100,69.42
2006-11-16,73.41,74.13,71.99,72.44,10712500,69.35
2006-11-15,73.35,74.01,72.94,73.61,7630300,70.47
2006-11-14,72.58,73.34,71.90,73.14,10772600,70.02
2006-11-13,72.77,73.38,72.56,72.70,13579200,69.60
2006-11-10,73.30,74.60,72.84,73.46,7988200,70.33
2006-11-09,74.58,75.25,73.30,73.53,6898400,70.39
2006-11-08,74.68,75.18,73.72,74.76,6630600,71.57
2006-11-07,75.07,75.84,74.75,75.21,4908600,72.00
2006-11-06,75.09,75.66,75.00,75.11,4064400,71.91
2006-11-03,75.25,75.31,74.21,74.87,4867700,71.68
2006-11-02,74.91,75.33,74.78,75.29,4830300,72.08
2006-11-01,76.00,76.09,74.57,75.28,6943800,72.07
2006-10-31,76.28,76.50,75.39,75.91,7526100,72.67
2006-10-30,75.37,76.93,75.32,76.50,6577900,73.24
2006-10-27,75.87,77.00,75.34,75.52,6809100,72.30
2006-10-26,75.16,76.32,74.73,75.98,7243500,72.74
2006-10-25,74.88,75.43,74.82,75.43,7201900,72.21
2006-10-24,75.30,75.43,74.52,74.94,19010600,71.74
2006-10-23,73.42,73.87,72.50,73.37,10730800,70.24
2006-10-20,73.30,74.00,72.49,73.95,11181200,70.79
2006-10-19,72.93,73.16,72.28,73.05,8841400,69.93
2006-10-18,72.01,72.81,71.33,72.38,7861900,69.29
2006-10-17,71.85,72.07,71.16,71.79,9571400,68.73
2006-10-16,72.63,72.79,71.80,72.43,9572800,69.34
2006-10-13,73.79,74.09,72.78,73.22,7202300,70.10
2006-10-12,73.64,74.12,73.26,74.09,5822700,70.93
2006-10-11,73.27,73.90,72.54,73.47,7071600,70.34
2006-10-10,73.93,74.14,73.16,73.73,4666600,70.58
2006-10-09,73.69,74.19,73.45,73.92,4869100,70.77
2006-10-06,74.64,74.67,73.51,74.01,6744200,70.85
2006-10-05,72.92,74.92,72.85,74.73,12645000,71.54
2006-10-04,71.31,72.97,71.24,72.97,12724800,69.86
2006-10-03,70.50,71.69,70.35,71.33,8633800,68.29
2006-10-02,71.40,71.87,70.08,70.30,8290800,67.30
2006-09-29,71.58,72.22,70.99,71.53,6431000,68.48
2006-09-28,71.35,72.23,71.07,71.55,12159400,68.50
2006-09-27,70.54,72.37,70.13,72.14,14691300,69.06
2006-09-26,71.54,71.74,70.27,70.75,7215400,67.73
2006-09-25,71.14,71.60,69.80,71.22,9346900,68.18
2006-09-22,72.33,72.38,70.51,70.89,8852300,67.87
2006-09-21,71.25,72.57,71.06,72.01,13390700,68.94
2006-09-20,70.06,71.22,69.98,70.98,10128100,67.95
2006-09-19,69.96,70.00,69.30,69.45,12450200,66.49
