Date,Open,High,Low,Close,Volume,Adj Close
2006-12-26,33.39,33.61,33.32,33.46,561800,27.57
2006-12-22,33.45,33.69,33.10,33.49,842400,27.60
2006-12-21,34.18,34.18,33.26,33.45,1486900,27.56
2006-12-20,33.26,33.60,33.16,33.51,1383100,27.61
2006-12-19,32.87,33.38,32.87,33.30,1477000,27.44
2006-12-18,33.03,33.30,32.93,33.12,1617200,27.29
2006-12-15,33.86,34.09,32.91,33.08,2747800,27.26
2006-12-14,33.40,33.44,33.09,33.20,1806100,27.36
2006-12-13,33.43,33.64,33.20,33.30,1504400,27.44
2006-12-12,33.27,33.27,32.90,33.22,1524400,27.37
2006-12-11,33.70,33.73,33.20,33.40,1635000,27.52
2006-12-08,33.72,34.01,33.64,33.69,1334900,27.76
2006-12-07,33.74,34.25,33.61,33.86,1762600,27.90
2006-12-06,33.88,33.88,33.25,33.68,2276000,27.75
2006-12-05,32.87,33.94,32.75,33.88,3178500,27.92
2006-12-04,32.28,32.92,32.12,32.86,1588800,27.08
2006-12-01,32.33,32.74,32.04,32.27,1662900,26.59
2006-11-30,32.67,32.87,32.40,32.64,1474900,26.89
2006-11-29,32.48,32.77,32.33,32.69,1448700,26.94
2006-11-28,32.25,32.72,32.20,32.46,2010600,26.75
2006-11-27,32.84,32.85,32.21,32.27,2290400,26.59
2006-11-24,32.85,33.34,32.85,33.28,516100,27.42
2006-11-22,32.90,33.21,32.86,33.15,1647500,27.32
2006-11-21,33.09,33.21,32.83,32.98,2204700,27.18
2006-11-20,33.50,33.63,33.22,33.26,2647400,27.41
2006-11-17,33.86,33.94,33.56,33.67,2062000,27.74
2006-11-16,33.49,33.90,33.15,33.84,1406700,27.88
2006-11-15,33.16,33.78,33.04,33.49,2252100,27.60
2006-11-14,33.06,33.37,32.73,33.15,1498800,27.32
2006-11-13,33.10,33.43,32.94,33.24,1515600,27.25
2006-11-10,33.10,33.39,32.92,33.14,1979100,27.16
2006-11-09,33.27,33.42,32.95,32.99,1878500,27.04
2006-11-08,32.54,33.35,32.54,33.27,2447800,27.27
2006-11-07,32.54,32.78,32.27,32.55,1854100,26.68
2006-11-06,32.16,33.43,32.05,32.54,5251800,26.67
2006-11-03,32.36,32.37,31.74,32.06,2113000,26.28
2006-11-02,30.55,32.95,30.55,32.21,8541700,26.40
2006-11-01,30.32,30.87,30.05,30.75,4148000,25.20
2006-10-31,29.78,30.42,29.66,30.41,4346200,24.93
2006-10-30,29.21,29.68,29.16,29.67,2546300,24.32
2006-10-27,29.50,29.50,28.99,29.20,5292300,23.93
2006-10-26,30.09,30.30,29.99,30.06,2556600,24.64
2006-10-25,30.11,30.72,30.11,30.15,1808000,24.71
2006-10-24,30.30,30.31,29.95,30.00,2450600,24.59
2006-10-23,29.87,30.42,29.85,30.38,1935900,24.90
2006-10-20,30.09,30.49,29.76,30.12,2840000,24.69
2006-10-19,30.13,30.15,29.79,29.96,2241800,24.56
2006-10-18,29.96,30.25,29.91,30.23,2867200,24.78
2006-10-17,29.45,29.84,29.34,29.84,2518100,24.46
2006-10-16,29.36,29.52,29.08,29.45,2141100,24.14
2006-10-13,29.65,29.72,29.24,29.36,3448400,24.06
2006-10-12,30.39,30.39,29.91,29.91,2231700,24.52
2006-10-11,30.55,30.55,30.15,30.25,1749400,24.79
2006-10-10,31.24,31.24,30.41,30.54,2272000,25.03
2006-10-09,30.57,31.18,30.52,31.11,1429800,25.50
2006-10-06,30.59,30.76,30.27,30.57,2189200,25.06
2006-10-05,30.32,30.82,30.15,30.77,1618500,25.22
2006-10-04,30.24,31.07,30.18,31.03,2853500,25.43
2006-10-03,30.59,30.70,30.18,30.23,2043400,24.78
2006-10-02,30.60,31.00,30.42,30.58,1465500,25.06
2006-09-29,31.25,31.30,30.62,30.66,1358000,25.13
2006-09-28,30.86,31.26,30.80,31.21,1686400,25.58
2006-09-27,30.66,30.91,30.38,30.85,1750100,25.29
2006-09-26,30.04,30.64,29.85,30.60,1681300,25.08
2006-09-25,29.99,30.12,29.63,29.88,2123800,24.49
2006-09-22,30.18,30.23,29.92,30.12,1879400,24.69
2006-09-21,29.87,30.40,29.87,30.18,1772200,24.74
2006-09-20,29.81,29.95,29.58,29.87,1558200,24.48
2006-09-19,29.77,29.89,29.47,29.59,2655400,24.25
2006-09-18,29.54,30.16,29.49,29.84,1510300,24.46
2006-09-15,29.75,29.81,29.49,29.54,1882700,24.21
2006-09-14,29.77,29.93,29.63,29.75,1142500,24.38
2006-09-13,29.87,30.19,29.65,29.76,957200,24.39
2006-09-12,29.54,29.90,29.45,29.87,1385600,24.48
2006-09-11,29.46,29.86,29.30,29.37,1899400,24.07
