Date,Open,High,Low,Close,Volume,Adj Close
2006-12-26,48.90,49.52,48.77,48.97,1017000,48.97
2006-12-22,49.57,49.68,48.91,49.03,1396100,49.03
2006-12-21,49.30,49.97,49.06,49.66,3317500,49.66
2006-12-20,49.51,49.71,49.15,49.34,3421500,49.34
2006-12-19,48.50,49.89,48.00,49.52,8178200,49.52
2006-12-18,51.37,51.46,50.02,50.23,2535400,50.23
2006-12-15,51.39,52.36,50.94,51.36,4747600,51.36
2006-12-14,50.31,51.76,50.31,51.06,3886700,51.06
2006-12-13,50.87,51.00,49.75,50.17,3479400,50.17
2006-12-12,51.64,51.64,50.26,50.74,3157100,50.74
2006-12-11,50.10,51.47,50.06,51.34,3962900,51.34
2006-12-08,51.26,52.07,50.56,50.67,2822800,50.67
2006-12-07,51.89,52.15,51.24,51.36,2556100,51.36
2006-12-06,51.51,51.95,51.00,51.89,2813400,51.89
2006-12-05,51.66,51.94,51.00,51.50,2474300,51.50
2006-12-04,52.36,52.52,51.61,51.78,2708500,51.78
2006-12-01,52.50,52.72,51.71,52.16,3272700,52.16
2006-11-30,51.51,52.50,51.30,52.26,3891200,52.26
2006-11-29,50.97,51.56,50.76,51.51,2666700,51.51
2006-11-28,50.78,51.50,50.47,51.03,3093800,51.03
2006-11-27,51.14,51.69,50.73,51.09,3234700,51.09
2006-11-24,51.34,51.95,51.06,51.51,1216800,51.51
2006-11-22,51.06,52.14,50.98,51.98,3051500,51.98
2006-11-21,51.45,51.60,50.90,51.00,3219900,51.00
2006-11-20,51.18,51.63,50.81,51.27,3056200,51.27
2006-11-17,49.90,50.90,49.73,50.79,5574600,50.79
2006-11-16,49.10,49.98,49.00,49.95,4318600,49.95
2006-11-15,48.40,49.25,48.31,48.97,3568500,48.97
2006-11-14,48.37,48.50,47.88,48.31,2345300,48.31
2006-11-13,47.77,48.37,47.37,48.27,2719500,48.27
2006-11-10,47.32,47.91,46.74,47.50,2421000,47.50
2006-11-09,48.53,48.82,47.00,47.07,2629500,47.07
2006-11-08,48.18,48.92,47.96,48.66,3343100,48.66
2006-11-07,48.24,48.95,47.68,48.80,3502600,48.80
2006-11-06,47.61,48.50,47.50,48.41,2115400,48.41
2006-11-03,47.76,47.87,47.26,47.52,1870800,47.52
2006-11-02,47.58,47.87,46.95,47.71,2650100,47.71
2006-11-01,47.67,48.32,47.40,47.77,4624300,47.77
2006-10-31,46.90,48.50,46.00,47.60,12915800,47.60
2006-10-30,44.39,44.42,43.90,43.91,2534800,43.91
2006-10-27,44.37,44.58,43.88,44.02,2570200,44.02
2006-10-26,44.84,44.98,43.83,44.41,3909100,44.41
2006-10-25,44.76,45.12,44.48,44.94,2514400,44.94
2006-10-24,45.20,45.33,44.15,44.91,2023400,44.91
2006-10-23,44.74,45.53,44.26,45.29,3109200,45.29
2006-10-20,45.63,45.91,44.76,45.01,4187300,45.01
2006-10-19,45.71,46.22,45.62,45.92,2351200,45.92
2006-10-18,45.87,46.13,45.53,45.95,2384200,45.95
2006-10-17,45.26,45.79,45.20,45.44,2135700,45.44
2006-10-16,45.65,45.78,45.31,45.56,1956800,45.56
2006-10-13,45.53,45.89,45.09,45.84,1754500,45.84
2006-10-12,45.26,45.73,44.96,45.68,2028300,45.68
2006-10-11,44.55,45.29,44.46,45.21,2427800,45.21
2006-10-10,45.75,45.80,44.74,45.00,1916500,45.00
2006-10-09,45.57,45.92,45.38,45.58,1936800,45.58
2006-10-06,45.64,46.01,45.41,45.66,1979500,45.66
2006-10-05,45.93,46.45,45.53,45.69,2070800,45.69
2006-10-04,44.66,46.39,44.66,46.18,3914400,46.18
2006-10-03,44.12,45.22,43.49,44.88,3105100,44.88
2006-10-02,44.81,45.79,43.95,44.24,3781900,44.24
2006-09-29,44.52,44.79,44.18,44.68,2367300,44.68
2006-09-28,44.70,45.02,44.41,44.74,2786000,44.74
2006-09-27,44.55,44.84,44.25,44.60,2283300,44.60
2006-09-26,44.53,44.78,43.90,44.68,2565500,44.68
2006-09-25,44.44,44.74,43.75,44.71,2853600,44.71
2006-09-22,43.75,44.56,43.59,44.23,3945800,44.23
2006-09-21,43.95,44.47,43.62,43.66,3108800,43.66
2006-09-20,43.38,43.87,43.23,43.66,3432100,43.66
2006-09-19,43.42,43.57,42.51,43.18,3626600,43.18
2006-09-18,43.63,44.20,43.54,43.57,2064300,43.57
2006-09-15,43.56,44.02,43.20,43.90,4813400,43.90
2006-09-14,43.45,43.99,43.13,43.39,2630400,43.39
2006-09-13,43.67,43.94,43.29,43.67,2303500,43.67
2006-09-12,44.00,44.07,43.01,43.87,3152800,43.87
2006-09-11,43.67,44.20,43.35,44.01,2103300,44.01
2006-09-08,43.52,44.18,43.28,43.98,1249900,43.98
2006-09-07,43.41,44.08,43.27,43.50,2919200,43.50
2006-09-06,44.07,44.28,43.15,43.25,3235500,43.25
2006-09-05,44.09,44.99,43.68,44.56,2420700,44.56
2006-09-01,44.40,44.96,44.19,44.25,2431100,44.25
2006-08-31,44.86,45.01,44.08,44.20,2164600,44.20
2006-08-30,44.47,44.81,43.96,44.70,2548900,44.70
2006-08-29,44.83,44.83,43.87,44.33,2515700,44.33
2006-08-28,44.18,44.92,44.14,44.74,2194800,44.74
2006-08-25,43.57,44.51,43.50,44.28,2650900,44.28
2006-08-24,43.05,43.86,43.00,43.76,2783200,43.76
2006-08-23,42.75,43.12,42.52,43.00,1779100,43.00
2006-08-22,43.01,43.35,42.48,42.88,2500600,42.88
2006-08-21,42.71,43.49,42.50,43.00,2521200,43.00
2006-08-18,43.45,43.81,42.76,42.91,3337200,42.91
2006-08-17,42.93,43.39,42.78,43.32,2889800,43.32
2006-08-16,42.42,43.08,42.03,43.08,2877100,43.08
2006-08-15,42.17,42.70,41.70,42.29,3054800,42.29
2006-08-14,41.72,42.39,41.35,41.83,3758100,41.83
2006-08-11,41.41,41.96,41.24,41.45,2514300,41.45
2006-08-10,41.72,41.95,41.16,41.58,2865400,41.58
2006-08-09,42.16,42.65,41.77,41.86,3936700,41.86
2006-08-08,42.16,42.30,41.02,41.73,3090600,41.73
2006-08-07,42.33,42.88,41.41,41.97,3098100,41.97
2006-08-04,42.94,43.22,42.02,42.39,2752200,42.39
2006-08-03,41.99,43.12,41.61,42.65,2877900,42.65
2006-08-02,41.38,42.90,41.19,42.17,3057200,42.17
2006-08-01,41.97,42.00,40.81,41.03,2626000,41.03
2006-07-31,41.65,42.50,41.31,42.05,2557100,42.05
2006-07-28,41.54,42.10,41.08,41.84,2234100,41.84
2006-07-27,41.42,42.38,41.10,41.33,3585400,41.33
2006-07-26,41.52,41.57,40.24,40.97,4566900,40.97
