Date,Open,High,Low,Close,Volume,Adj Close
2006-12-26,66.94,66.94,66.28,66.68,1305400,48.68
2006-12-22,67.30,67.30,66.41,66.53,1883100,48.57
2006-12-21,66.52,66.93,66.20,66.91,2966700,48.85
2006-12-20,67.45,67.58,66.90,66.91,2885300,48.85
2006-12-19,67.20,68.25,67.09,67.89,2919600,49.56
2006-12-18,67.73,67.88,66.73,66.75,3754400,48.73
2006-12-15,68.26,68.33,67.64,67.88,2129500,49.55
2006-12-14,67.73,68.18,67.68,68.06,5134100,49.69
2006-12-13,68.11,68.67,67.96,68.59,2717600,50.07
2006-12-12,68.37,68.62,67.87,68.25,2576000,49.82
2006-12-11,67.87,68.73,67.84,68.30,2052600,49.86
2006-12-08,68.53,68.88,68.28,68.50,3665000,50.01
2006-12-07,68.09,68.50,67.70,68.17,3257100,49.77
2006-12-06,68.15,68.76,67.76,67.96,4498600,49.61
2006-12-05,68.30,68.77,67.99,68.62,3898800,50.09
2006-12-04,67.67,67.78,67.20,67.56,2639900,49.32
2006-12-01,67.76,68.05,67.12,67.92,3498400,49.58
2006-11-30,68.05,68.20,67.62,68.08,3408600,49.70
2006-11-29,67.35,68.30,67.11,68.07,3716200,49.69
2006-11-28,66.69,67.37,66.65,67.35,2672800,49.17
2006-11-27,66.61,66.84,66.14,66.42,2921500,48.49
2006-11-24,66.00,66.61,65.75,66.50,1838000,48.55
2006-11-22,66.95,67.13,66.28,66.61,2350500,48.63
2006-11-21,66.65,67.07,66.49,67.01,2713300,48.92
2006-11-20,66.00,66.75,66.00,66.23,2701200,48.35
2006-11-17,66.01,66.50,65.95,66.38,4922000,48.46
2006-11-16,68.06,68.38,66.50,66.62,3697300,48.63
2006-11-15,67.02,67.75,66.85,67.64,3914000,49.38
2006-11-14,67.37,67.66,66.83,67.63,3570800,49.37
2006-11-13,67.10,67.59,66.88,67.13,4022800,49.01
2006-11-10,69.11,69.11,68.08,68.44,2260300,49.96
2006-11-09,68.39,68.89,68.14,68.40,3165700,49.93
2006-11-08,67.60,68.87,67.54,68.77,3365900,50.20
2006-11-07,68.90,68.98,67.98,68.12,2981700,49.30
2006-11-06,67.91,68.46,67.71,68.31,2469100,49.44
2006-11-03,66.95,67.50,66.81,67.35,3751400,48.74
2006-11-02,66.93,67.50,66.87,67.25,2525900,48.67
2006-11-01,67.51,67.79,66.91,67.20,4100000,48.63
2006-10-31,66.60,67.24,66.12,67.10,3310100,48.56
2006-10-30,67.72,67.77,66.90,67.08,3426200,48.55
2006-10-27,68.63,68.69,67.90,68.06,2528700,49.25
2006-10-26,69.46,69.49,67.93,68.45,4639400,49.54
2006-10-25,68.17,69.40,68.15,69.22,3460300,50.09
2006-10-24,67.88,68.58,67.81,68.30,3646500,49.43
2006-10-23,66.63,67.98,66.54,67.86,3188500,49.11
2006-10-20,68.39,68.39,67.53,67.80,2571800,49.07
2006-10-19,66.98,68.12,66.98,68.08,3428400,49.27
2006-10-18,67.50,67.74,66.50,66.55,4393700,48.16
2006-10-17,68.34,68.34,67.35,67.76,3466600,49.04
