Date,Open,High,Low,Close,Volume,Adj Close
2006-12-26,64.65,65.12,64.54,65.00,1923200,27.66
2006-12-22,64.52,64.80,64.16,64.59,2563800,27.48
2006-12-21,65.15,65.37,64.41,64.69,3882400,27.52
2006-12-20,65.19,65.44,65.06,65.17,3989800,27.73
2006-12-19,65.10,65.28,64.83,65.09,4122000,27.69
2006-12-18,65.09,65.40,65.01,65.19,2514200,27.74
2006-12-15,65.45,65.62,65.30,65.33,4455600,27.80
2006-12-14,65.78,66.02,65.49,65.70,3119200,27.95
2006-12-13,65.98,66.13,65.17,65.56,2518400,27.89
2006-12-12,65.98,65.99,65.52,65.69,3156800,27.95
2006-12-11,65.66,65.91,65.47,65.89,2108800,28.04
2006-12-08,65.65,65.70,65.05,65.60,1798800,27.91
2006-12-07,65.70,66.14,65.53,65.63,1676600,27.92
2006-12-06,65.59,65.92,65.51,65.86,2638400,28.02
2006-12-05,66.28,66.48,65.51,65.58,3185200,27.90
2006-12-04,65.50,66.24,65.49,66.24,2777200,28.18
2006-12-01,65.20,65.40,64.65,65.36,3178600,27.81
2006-11-30,65.35,65.47,64.83,65.05,3165200,27.68
2006-11-29,65.00,65.21,64.51,65.14,2505800,27.72
2006-11-28,65.58,65.58,64.51,65.08,3142000,27.69
2006-11-27,65.63,65.72,64.74,65.01,4282600,27.66
2006-11-24,66.30,66.52,65.50,65.97,1955400,28.07
2006-11-22,66.24,66.80,66.08,66.74,3224800,28.40
2006-11-21,65.85,67.08,65.85,66.83,5692800,28.44
2006-11-20,66.82,66.92,65.41,65.98,5786600,28.07
2006-11-17,65.47,66.01,65.29,66.01,3835400,28.09
2006-11-16,64.55,65.80,64.45,65.65,3948800,27.93
2006-11-15,64.52,64.75,64.09,64.32,5195000,27.37
2006-11-14,65.00,65.11,64.30,64.73,4229000,27.54
2006-11-13,65.12,65.22,64.67,64.87,2800400,27.60
2006-11-10,65.22,65.35,64.81,65.24,2165200,27.76
2006-11-09,65.20,65.20,64.53,65.05,2806600,27.68
2006-11-08,65.00,65.07,64.64,65.00,5107400,27.66
2006-11-07,64.20,65.00,64.05,65.00,4441600,27.66
2006-11-06,63.80,64.20,63.71,64.06,3409400,27.26
2006-11-03,63.67,63.97,63.32,63.67,2985400,27.09
