Date,Open,High,Low,Close,Volume,Adj Close
2006-12-26,20.96,21.02,20.76,21.00,632400,29.72
2006-12-22,21.03,21.05,20.62,20.98,875200,29.69
2006-12-21,21.09,21.15,20.75,21.00,1153700,29.72
2006-12-20,20.70,21.29,20.54,21.02,2648800,29.75
2006-12-19,20.24,20.76,20.20,20.57,1331200,29.11
2006-12-18,20.73,20.86,20.22,20.34,1459100,28.79
2006-12-15,20.69,21.00,20.48,20.65,2006400,29.23
2006-12-14,20.68,20.87,20.48,20.59,2022200,29.14
2006-12-13,20.73,20.73,20.42,20.59,1053100,29.14
2006-12-12,20.50,20.77,20.48,20.60,1732000,29.16
2006-12-11,20.60,20.78,20.46,20.51,2002400,29.03
2006-12-08,18.59,21.00,18.51,20.46,4289400,28.96
2006-12-07,18.81,18.82,18.58,18.62,837500,26.35
2006-12-06,18.61,18.78,18.48,18.78,1171500,26.58
2006-12-05,18.45,18.75,18.38,18.71,1698000,26.48
2006-12-04,18.40,18.60,18.39,18.47,1335200,26.14
2006-12-01,18.20,18.43,18.17,18.32,1124000,25.93
2006-11-30,18.24,18.39,18.06,18.16,1281600,25.70
2006-11-29,18.19,18.58,18.13,18.38,924800,26.01
2006-11-28,18.41,18.45,17.98,18.17,991000,25.72
2006-11-27,18.25,18.43,18.09,18.36,1392300,25.99
2006-11-24,18.11,18.38,18.10,18.33,450700,25.94
2006-11-22,18.00,18.26,17.77,18.26,1179800,25.84
2006-11-21,18.02,18.06,17.62,18.06,1016800,25.56
2006-11-20,17.50,17.89,17.50,17.86,1465200,25.28
2006-11-17,17.28,17.64,17.17,17.60,1342700,24.91
2006-11-16,17.14,17.46,17.10,17.31,837200,24.50
2006-11-15,16.61,17.18,16.61,17.08,1392900,24.17
2006-11-14,16.65,16.69,16.35,16.66,652600,23.58
2006-11-13,16.77,16.98,16.54,16.60,1115900,23.49
2006-11-10,16.81,16.97,16.30,16.84,2436100,23.83
2006-11-09,16.71,17.05,16.60,16.94,1891400,23.98
2006-11-08,16.29,16.64,16.19,16.53,618400,23.40
2006-11-07,16.54,16.54,16.34,16.45,854400,23.28
2006-11-06,16.50,16.68,16.30,16.62,745600,23.52
2006-11-03,16.27,16.43,16.24,16.41,590400,23.23
2006-11-02,16.13,16.36,16.08,16.35,871400,23.14
2006-11-01,16.33,16.44,15.95,16.22,708000,22.96
2006-10-31,16.25,16.36,15.84,16.25,1022600,23.00
2006-10-30,16.45,16.60,16.25,16.30,537000,23.07
