Date,Open,High,Low,Close,Volume,Adj Close
2006-12-26,456.52,459.47,454.59,457.53,2074300,457.53
2006-12-22,457.50,458.64,452.73,455.58,3988300,455.58
2006-12-21,464.18,465.25,452.34,456.20,6953300,456.20
2006-12-20,470.00,471.50,462.33,462.90,4367800,462.90
2006-12-19,461.72,469.31,458.50,468.63,6587000,468.63
2006-12-18,482.51,482.74,460.72,462.80,8016600,462.80
2006-12-15,482.64,484.11,479.84,480.30,5190800,480.30
2006-12-14,480.25,483.75,477.26,482.12,4748900,482.12
2006-12-13,484.69,485.50,477.02,478.99,4662100,478.99
2006-12-12,483.85,486.36,480.28,481.78,4181000,481.78
2006-12-11,484.92,488.90,483.80,483.93,3263400,483.93
2006-12-08,481.94,488.60,480.00,484.11,3974900,484.11
2006-12-07,490.23,491.80,482.42,482.64,4664300,482.64
2006-12-06,486.96,492.40,484.52,488.71,4450300,488.71
2006-12-05,487.40,489.44,484.89,487.00,4103000,487.00
2006-12-04,483.00,487.43,479.35,484.85,4899900,484.85
2006-12-01,485.98,488.39,478.50,480.80,5631400,480.80
2006-11-30,484.19,490.40,481.55,484.81,5577500,484.81
2006-11-29,494.24,494.74,482.25,484.65,6315300,484.65
2006-11-28,481.13,489.86,477.03,489.50,7797600,489.50
2006-11-27,501.37,501.78,484.75,484.75,7324700,484.75
2006-11-24,504.50,507.50,504.00,505.00,1732700,505.00
2006-11-22,510.97,513.00,505.78,508.01,4500700,508.01
2006-11-21,496.54,510.00,495.83,509.65,8427500,509.65
2006-11-20,498.40,498.40,492.65,495.05,5124500,495.05
2006-11-17,493.25,499.66,493.00,498.79,5511000,498.79
2006-11-16,495.00,497.68,492.56,495.90,5092600,495.90
2006-11-15,493.43,499.85,491.93,491.93,8370700,491.93
2006-11-14,480.70,489.95,480.50,489.30,7223400,489.30
2006-11-13,474.90,481.17,474.14,481.03,4341900,481.03
2006-11-10,473.78,474.72,470.29,473.55,2796700,473.55
2006-11-09,476.50,479.49,471.86,472.63,4879200,472.63
2006-11-08,470.35,481.74,468.60,475.00,7965000,475.00
2006-11-07,476.95,479.02,471.77,472.57,4897100,472.57
2006-11-06,473.77,479.66,472.33,476.95,4991500,476.95
2006-11-03,472.23,473.75,465.06,471.80,4907700,471.80
2006-11-02,467.50,473.73,466.38,469.91,5236700,469.91
2006-11-01,478.76,479.13,465.26,467.50,5426300,467.50
2006-10-31,478.06,482.16,473.84,476.39,6285400,476.39
2006-10-30,474.82,480.46,470.01,476.57,6563100,476.57
2006-10-27,483.90,485.24,472.49,475.20,6604000,475.20
2006-10-26,487.68,491.96,484.20,485.10,7031700,485.10
2006-10-25,477.49,488.50,475.11,486.60,9187500,486.60
2006-10-24,476.28,477.86,471.41,473.31,8660200,473.31
2006-10-23,462.28,484.64,460.37,480.78,15104500,480.78
2006-10-20,458.99,460.10,453.59,459.67,11647900,459.67
2006-10-19,420.23,429.50,419.57,426.06,11503500,426.06
2006-10-18,422.99,424.75,417.50,419.31,6017300,419.31
2006-10-17,420.30,423.75,416.70,420.64,5211000,420.64
2006-10-16,427.70,429.20,421.34,421.75,4319400,421.75
2006-10-13,427.76,429.50,425.56,427.30,3622500,427.30
2006-10-12,428.56,429.68,424.00,427.44,4844000,427.44
2006-10-11,425.02,429.91,423.76,426.50,5635400,426.50
2006-10-10,431.56,437.85,422.39,426.65,9788600,426.65
2006-10-09,424.80,431.95,423.42,429.00,7583300,429.00
2006-10-06,410.22,421.91,409.75,420.50,7336500,420.50
2006-10-05,414.70,418.24,410.86,411.81,5789800,411.81
2006-10-04,404.97,415.77,403.05,415.70,6661800,415.70
2006-10-03,401.29,406.46,398.19,404.04,5464700,404.04
2006-10-02,401.90,406.00,400.80,401.44,3651900,401.44
2006-09-29,405.13,405.62,401.41,401.90,3310900,401.90
2006-09-28,404.08,406.98,400.54,403.58,5107400,403.58
2006-09-27,406.30,411.22,402.37,402.92,5876700,402.92
2006-09-26,405.50,407.68,401.77,406.87,5289400,406.87
2006-09-25,405.58,409.45,402.50,403.98,5737300,403.98
2006-09-22,404.98,407.45,401.36,403.78,4649600,403.78
2006-09-21,400.30,408.45,399.86,406.85,10692100,406.85
2006-09-20,407.10,407.39,394.62,397.00,9147800,397.00
2006-09-19,415.46,415.49,392.74,403.81,14292900,403.81
2006-09-18,410.00,418.69,409.47,414.69,7106700,414.69
2006-09-15,407.48,410.05,406.74,409.88,7838200,409.88
2006-09-14,404.30,406.28,401.93,403.98,5366100,403.98
2006-09-13,395.15,406.76,395.10,406.57,9768200,406.57
2006-09-12,385.00,392.73,384.88,391.90,5442200,391.90
2006-09-11,378.26,384.69,377.77,384.09,4529200,384.09
2006-09-08,376.72,380.79,376.72,377.85,3083400,377.85
2006-09-07,379.39,381.75,377.40,378.49,3842000,378.49
2006-09-06,382.10,383.19,379.66,380.14,3724100,380.14
2006-09-05,379.87,385.40,377.44,384.36,4074300,384.36
2006-09-01,380.99,381.28,377.19,378.60,2672900,378.60
2006-08-31,381.49,382.15,378.20,378.53,2959900,378.53
2006-08-30,379.21,384.65,378.51,380.75,4044400,380.75
2006-08-29,380.78,382.32,377.20,378.95,4460000,378.95
2006-08-28,375.61,380.95,375.00,380.95,4164000,380.95
2006-08-25,373.08,375.32,372.50,373.26,2466700,373.26
2006-08-24,374.44,376.40,372.26,373.73,3482500,373.73
2006-08-23,377.64,378.27,372.66,373.43,3642300,373.43
2006-08-22,377.73,379.26,374.84,378.29,4164100,378.29
2006-08-21,378.10,379.00,375.22,377.30,4023300,377.30
2006-08-18,386.31,387.09,380.75,383.36,4952200,383.36
2006-08-17,386.39,390.00,383.92,385.80,5080200,385.80
2006-08-16,383.48,388.45,382.12,387.72,5853200,387.72
2006-08-15,374.11,381.67,372.60,380.97,6698200,380.97
2006-08-14,371.50,375.13,368.67,369.43,4968300,369.43
2006-08-11,374.40,375.28,368.00,368.50,3766500,368.50
2006-08-10,373.88,377.67,372.46,374.20,4261900,374.20
2006-08-09,382.80,384.68,376.36,376.94,4311000,376.94
2006-08-08,382.82,384.50,379.09,381.00,5743200,381.00
2006-08-07,371.50,379.73,371.15,377.95,3946900,377.95
2006-08-04,379.56,380.68,371.75,373.85,5095200,373.85
2006-08-03,364.98,377.91,363.36,375.39,6327000,375.39
2006-08-02,375.60,377.17,365.20,367.23,7097800,367.23
2006-08-01,385.11,385.77,375.51,375.51,5463200,375.51
2006-07-31,388.00,389.17,383.31,386.60,4595300,386.60
2006-07-28,382.00,389.56,381.73,388.12,4083600,388.12
2006-07-27,387.37,387.49,377.95,382.40,5641100,382.40
2006-07-26,388.20,391.91,383.00,385.50,5531900,385.50
2006-07-25,385.02,391.31,383.80,389.36,5761100,389.36
2006-07-24,392.82,393.89,381.21,390.90,8086100,390.90
2006-07-21,386.14,391.75,377.69,390.11,11754600,390.11
2006-07-20,404.28,404.44,385.66,387.12,12538700,387.12
2006-07-19,395.01,401.14,394.66,399.00,8518500,399.00
2006-07-18,409.75,410.57,397.74,403.05,8536800,403.05
2006-07-17,404.63,411.00,403.72,407.89,5811900,407.89
2006-07-14,410.33,411.49,398.61,403.50,7552100,403.50
2006-07-13,414.00,418.34,406.83,408.83,6924500,408.83
2006-07-12,422.09,422.74,416.73,417.25,4906700,417.25
2006-07-11,418.51,425.05,413.03,424.56,5971300,424.56
2006-07-10,423.44,425.23,416.38,418.20,4436400,418.20
2006-07-07,426.05,427.89,415.88,420.45,6041900,420.45
2006-07-06,423.38,425.38,421.98,423.19,3687100,423.19
2006-07-05,421.52,422.80,415.64,421.46,4985600,421.46
2006-07-03,420.04,423.77,419.45,423.20,2156700,423.20
2006-06-30,415.60,419.33,412.33,419.33,6258000,419.33
2006-06-29,407.99,418.20,405.82,417.81,6658200,417.81
2006-06-28,404.01,406.48,401.13,406.11,3710500,406.11
2006-06-27,405.71,408.00,401.01,402.32,4107100,402.32
2006-06-26,406.75,408.30,403.25,404.22,3551200,404.22
2006-06-23,402.76,409.75,400.74,404.86,5314800,404.86
2006-06-22,401.58,406.00,388.00,399.95,5911900,399.95
2006-06-21,391.06,404.00,389.75,402.13,8744400,402.13
2006-06-20,388.03,391.87,386.51,387.17,4039900,387.17
2006-06-19,390.85,394.80,386.98,388.14,7633100,388.14
2006-06-16,389.10,390.93,388.00,390.70,5304600,390.70
2006-06-15,386.62,392.25,383.00,391.00,6785700,391.00
2006-06-14,389.83,391.10,378.52,384.39,7772000,384.39
2006-06-13,380.90,387.00,378.12,386.52,7659100,386.52
2006-06-12,388.34,390.49,381.00,381.54,5019100,381.54
2006-06-09,392.19,395.43,385.35,386.57,6157500,386.57
2006-06-08,387.75,394.27,378.59,393.30,10359500,393.30
2006-06-07,393.24,394.86,386.50,386.51,8911300,386.51
2006-06-06,376.58,390.00,376.30,389.99,10259800,389.99
2006-06-05,376.18,381.45,374.15,374.44,5558500,374.44
2006-06-02,386.84,387.08,377.45,379.44,6386400,379.44
2006-06-01,373.54,382.99,371.60,382.62,6278000,382.62
2006-05-31,373.80,378.25,366.78,371.82,7981300,371.82
2006-05-30,378.28,381.00,371.45,371.94,4316000,371.94
2006-05-26,384.55,385.88,380.03,381.35,3667000,381.35
2006-05-25,379.08,383.00,372.31,382.99,8194600,382.99
2006-05-24,377.35,383.44,371.61,381.25,9553800,381.25
2006-05-23,374.21,383.88,373.56,375.58,8983000,375.58
2006-05-22,367.85,373.03,365.25,370.95,8604400,370.95
2006-05-19,373.28,374.50,360.57,370.02,11398200,370.02
2006-05-18,378.78,381.81,370.71,370.99,5835000,370.99
2006-05-17,370.61,379.84,370.22,374.50,10643800,374.50
2006-05-16,375.99,376.86,369.89,371.30,6491100,371.30
2006-05-15,375.93,380.15,368.25,376.20,8590100,376.20
2006-05-12,383.54,384.87,373.55,374.13,10087600,374.13
2006-05-11,403.42,404.71,384.98,387.00,8892800,387.00
2006-05-10,408.31,411.71,401.86,402.98,6187200,402.98
2006-05-09,395.70,409.00,393.75,408.80,9140600,408.80
2006-05-08,395.11,397.12,390.05,394.78,5118600,394.78
2006-05-05,397.60,400.68,391.78,394.30,6065000,394.30
2006-05-04,395.03,398.87,392.21,394.75,4652000,394.75
2006-05-03,396.35,401.50,390.88,394.17,8072200,394.17
2006-05-02,401.08,402.49,388.40,394.80,13104300,394.80
2006-05-01,418.47,419.44,398.55,398.90,10361200,398.90
2006-04-28,418.63,425.73,416.30,417.94,7421300,417.94
2006-04-27,422.91,426.91,419.39,420.03,8337900,420.03
2006-04-26,427.74,430.04,423.53,425.97,7277800,425.97
2006-04-25,439.63,441.04,426.00,427.16,9569000,427.16
2006-04-24,439.40,444.70,436.52,440.50,8836400,440.50
2006-04-21,448.90,450.72,436.17,437.10,22551300,437.10
2006-04-20,411.01,416.00,408.20,415.00,12271500,415.00
2006-04-19,412.57,413.64,406.73,410.50,6781700,410.50
2006-04-18,407.93,409.83,401.50,404.24,8137600,404.24
2006-04-17,403.45,412.50,400.84,406.82,8259500,406.82
2006-04-13,408.63,409.76,400.50,402.16,6552900,402.16
2006-04-12,409.00,411.33,405.19,408.95,6017000,408.95
2006-04-11,416.42,419.10,406.22,409.66,11107200,409.66
2006-04-10,407.08,417.17,405.25,416.38,9320100,416.38
2006-04-07,412.41,412.85,404.02,406.16,7025900,406.16
2006-04-06,406.49,413.89,405.43,411.18,8598500,411.18
2006-04-05,408.20,414.57,402.82,407.99,13410500,407.99
2006-04-04,389.90,404.90,388.14,404.34,15715700,404.34
2006-04-03,389.53,392.47,387.93,389.70,8122700,389.70
2006-03-31,388.74,391.87,384.03,390.00,36521400,390.00
2006-03-30,389.19,393.50,383.61,388.44,14711700,388.44
2006-03-29,379.94,399.00,379.51,394.98,19027500,394.98
2006-03-28,371.71,377.86,371.17,377.20,8945800,377.20
2006-03-27,367.09,371.71,365.00,369.69,7023700,369.69
2006-03-24,368.62,370.09,362.51,365.80,15180600,365.80
2006-03-23,342.35,345.75,340.20,341.89,7434700,341.89
2006-03-22,339.75,344.10,337.50,340.22,7596000,340.22
2006-03-21,350.01,351.66,339.08,339.92,9831100,339.92
2006-03-20,342.34,350.09,341.54,348.19,10407600,348.19
2006-03-17,338.80,341.78,334.93,339.79,8551700,339.79
2006-03-16,348.61,348.75,337.90,338.77,10016700,338.77
2006-03-15,350.77,352.30,340.53,344.50,12768800,344.50
2006-03-14,337.14,352.37,332.62,351.16,18450700,351.16
2006-03-13,340.93,346.10,335.45,337.06,13642400,337.06
2006-03-10,343.50,344.50,331.55,337.50,19325600,337.50
2006-03-09,355.39,358.53,341.50,343.00,13910400,343.00
2006-03-08,353.93,360.03,350.54,353.88,11745600,353.88
2006-03-07,365.02,368.45,358.15,364.45,10378800,364.45
2006-03-06,380.91,383.40,367.14,368.10,8939700,368.10
2006-03-03,384.30,387.24,375.76,378.18,11962000,378.18
2006-03-02,364.28,381.10,362.20,376.45,18330300,376.45
2006-03-01,368.56,369.45,361.30,364.80,12061200,364.80
2006-02-28,393.20,397.54,338.51,362.62,39437600,362.62
2006-02-27,381.27,391.70,380.28,390.38,10212200,390.38
2006-02-24,377.30,380.07,373.49,377.40,6484300,377.40
2006-02-23,365.61,381.24,365.39,378.07,12551600,378.07
2006-02-22,367.15,368.95,363.86,365.49,6476200,365.49
2006-02-21,366.44,373.54,365.11,366.59,8686000,366.59
2006-02-17,369.86,372.14,363.62,368.75,14320200,368.75
2006-02-16,345.67,367.00,344.49,366.46,21315500,366.46
2006-02-15,341.27,346.00,337.83,342.38,12947000,342.38
2006-02-14,345.33,351.69,342.40,343.32,14654000,343.32
2006-02-13,346.64,350.60,341.89,345.70,19717800,345.70
2006-02-10,361.95,364.50,353.14,362.61,15223500,362.61
2006-02-09,371.20,374.40,356.11,358.77,11912400,358.77
2006-02-08,368.48,370.69,354.67,369.08,20804100,369.08
2006-02-07,382.99,383.70,363.35,367.92,16630200,367.92
2006-02-06,385.31,389.90,379.56,385.10,8940400,385.10
2006-02-03,393.62,393.90,372.57,381.55,18281800,381.55
2006-02-02,403.82,406.50,395.98,396.04,11807700,396.04
2006-02-01,389.03,402.00,387.52,401.78,27122500,401.78
2006-01-31,430.57,439.60,423.97,432.66,22066000,432.66
2006-01-30,429.23,433.28,425.00,426.82,8588900,426.82
2006-01-27,435.00,438.22,428.98,433.49,8452200,433.49
2006-01-26,439.54,439.99,423.56,434.27,12926100,434.27
2006-01-25,451.26,454.23,429.22,433.00,18739800,433.00
2006-01-24,436.03,444.95,434.48,443.03,15464600,443.03
2006-01-23,407.38,428.39,405.73,427.50,22741400,427.50
2006-01-20,438.70,440.03,394.74,399.46,41116700,399.46
2006-01-19,451.17,453.49,433.00,436.45,14537300,436.45
2006-01-18,447.30,457.36,443.25,444.91,20485700,444.91
2006-01-17,463.06,469.90,462.53,467.11,8270300,467.11
2006-01-13,464.31,466.89,461.61,466.25,7656600,466.25
2006-01-12,473.72,474.99,461.50,463.63,10125300,463.63
2006-01-11,471.27,475.11,469.18,471.63,9007400,471.63
2006-01-10,464.42,470.25,462.04,469.76,9097100,469.76
2006-01-09,466.41,473.40,460.94,466.90,12791900,466.90
2006-01-06,456.87,470.50,453.24,465.66,17756900,465.66
2006-01-05,446.00,451.55,441.50,451.24,10808300,451.24
2006-01-04,443.90,448.96,439.75,445.24,15286400,445.24
2006-01-03,422.52,435.67,418.22,435.23,13121200,435.23
2005-12-30,417.27,418.21,413.74,414.86,7587100,414.86
2005-12-29,427.98,428.73,419.17,420.15,6945800,420.15
2005-12-28,424.34,427.78,421.26,426.69,7117900,426.69
2005-12-27,431.86,431.86,422.76,424.64,6702800,424.64
2005-12-23,432.15,432.50,428.78,430.93,4595100,430.93
2005-12-22,431.77,432.86,425.93,432.04,7546600,432.04
2005-12-21,433.55,436.86,420.71,426.33,11221900,426.33
2005-12-20,427.86,432.20,424.67,429.74,10084700,429.74
2005-12-19,432.20,446.21,420.11,424.60,21936800,424.60
2005-12-16,425.34,432.50,422.75,430.15,16330500,430.15
2005-12-15,419.11,423.14,416.50,422.55,6045800,422.55
2005-12-14,417.04,419.73,415.49,418.96,6630400,418.96
2005-12-13,412.50,418.00,411.64,417.49,8157000,417.49
2005-12-12,414.63,415.21,409.95,412.61,6950100,412.61
2005-12-09,415.00,415.78,408.56,409.20,7643400,409.20
2005-12-08,405.30,410.65,402.64,410.65,8910100,410.65
2005-12-07,406.16,406.70,399.01,404.22,11665900,404.22
2005-12-06,408.70,416.41,401.70,404.54,15114700,404.54
2005-12-05,417.00,417.50,404.28,405.85,10289400,405.85
2005-12-02,416.94,419.53,413.86,417.70,7543500,417.70
2005-12-01,409.20,415.44,408.29,414.09,9744900,414.09
2005-11-30,404.26,408.45,395.56,404.91,15596600,404.91
2005-11-29,424.46,426.40,402.14,403.54,21495800,403.54
2005-11-28,429.82,431.24,422.44,423.48,11008400,423.48
2005-11-25,425.78,428.75,425.30,428.62,4840100,428.62
2005-11-23,417.04,424.72,415.78,422.86,10085000,422.86
2005-11-22,408.65,417.31,406.23,416.47,9596000,416.47
2005-11-21,399.17,409.98,393.49,409.36,10335100,409.36
2005-11-18,403.49,404.50,399.85,400.21,7025700,400.21
2005-11-17,401.80,403.81,399.53,403.45,9212200,403.45
2005-11-16,396.20,398.85,394.11,398.15,8695200,398.15
2005-11-15,394.38,397.00,390.95,392.80,8624900,392.80
2005-11-14,392.12,398.22,391.53,396.97,7807900,396.97
2005-11-11,395.12,396.90,388.85,390.40,7063900,390.40
2005-11-10,378.36,391.35,377.43,391.10,9128700,391.10
2005-11-09,386.67,388.29,378.03,379.15,10466900,379.15
2005-11-08,394.25,395.59,388.58,389.90,7897500,389.90
2005-11-07,395.10,397.47,392.15,395.03,9591500,395.03
2005-11-04,389.98,391.79,385.45,390.43,8824900,390.43
2005-11-03,382.41,386.58,381.38,385.95,7448400,385.95
2005-11-02,381.70,385.00,377.17,379.68,10565400,379.68
2005-11-01,371.86,383.90,369.01,379.38,16356100,379.38
2005-10-31,360.24,374.75,359.51,372.14,14342900,372.14
2005-10-28,355.27,358.95,355.02,358.17,5903500,358.17
2005-10-27,356.60,357.09,351.68,353.06,5134400,353.06
2005-10-26,346.28,356.00,346.19,355.44,8907500,355.44
2005-10-25,345.78,347.40,342.86,346.91,6878300,346.91
2005-10-24,343.37,349.30,342.19,348.65,9431700,348.65
2005-10-21,345.80,346.43,333.00,339.90,22892400,339.90
2005-10-20,309.99,311.13,301.21,303.20,13911700,303.20
2005-10-19,304.00,309.87,303.96,308.70,7010700,308.70
2005-10-18,304.96,307.96,302.74,303.28,7077800,303.28
2005-10-17,297.50,305.20,294.56,305.00,7566700,305.00
